pct_carrier_delay,pct_atc_delay,pct_weather_delay,airline
8.153225806,1.971774194,0.7620967742,American
5.959923664,3.70610687,1.585877863,American
7.15727003,2.706231454,2.026706231,American
12.1,11.03333333,0,American
7.333333333,3.365591398,1.774193548,American
6.163888889,3.225,0.975,American
7.744161359,10.64225053,1.460721868,American
9.070175439,8.078947368,0.7280701754,American
10.40659341,8.164835165,0.8388278388,American
9.769784173,5.971223022,0.7122302158,American
8.5,15.29545455,2.318181818,American
6.587096774,3.04516129,0.3032258065,American
8.947368421,4.228070175,1.561403509,American
8.109669811,5.533018868,1.254716981,American
6.772296015,3.239089184,0.5521821632,American
3.348265564,4.730607244,0.6780764224,American
7.811594203,2.956521739,0,American
14.44723618,3.944723618,1.271356784,American
7.346715328,2.412408759,1.587591241,American
4.568848758,11.751693,0.5169300226,American
5.338709677,6.451612903,0.7903225806,American
11.68817204,6.612903226,2.053763441,American
21.41935484,4.709677419,1.419354839,American
12.40298507,3.074626866,1.880597015,American
13.76036866,45.11520737,0.4608294931,American
8.75862069,3.103448276,0.5172413793,American
6.428176796,7.61878453,0.07458563536,American
6.233552632,4.059210526,0.1776315789,American
13.25210084,1.655462185,0.3277310924,American
11.65584416,6.902597403,0.5714285714,American
14.72413793,8.25862069,3.25862069,American
5.771186441,2.737288136,0.9576271186,American
6.497467072,7.300911854,0.09118541033,American
8.419354839,49.4516129,0,American
6.416541353,6.983458647,1.117293233,American
6.124685139,6.299748111,0.7699412259,American
5.720609579,7.61030479,0.7656023222,American
8.935483871,29.51612903,0,American
6.194986072,3.459610028,0.8885793872,American
11.03360215,4.197580645,1.216397849,American
6.666666667,3.229166667,0.2638888889,American
7.669491525,1.906779661,1.525423729,American
7.315933315,6.916370593,1.082262913,American
5.896162528,2.936794582,1.632054176,American
10.62463343,4.914956012,0.8240469208,American
8.666666667,1.6,3,American
12.16129032,27.91397849,0.7849462366,American
7.723502304,2.133640553,0.1797235023,American
6.82,3.906666667,0.6466666667,American
10.93548387,8.661290323,0.2258064516,American
3.261026464,6.841820369,0.5392943063,American
12,5.192982456,0.8421052632,American
10.06451613,5.374193548,0.9290322581,American
15.06451613,3.508064516,2.048387097,American
9.529550827,7.078014184,1.765957447,American
6.623481781,3.860323887,1.738866397,American
11.80645161,5.048387097,0.9032258065,American
6.186046512,2.565891473,1.410852713,American
10.00909091,4.933333333,1.157575758,American
10.44318182,4.863636364,0.7840909091,American
8.734042553,4.382978723,0.914893617,American
5.987878788,4.254545455,2.024242424,American
8.942396313,6.716589862,1.649769585,American
8.911708253,3.024952015,0.8752399232,American
14.46590909,4.806818182,0.7159090909,American
6.551546392,1.992268041,1.396907216,American
4.681678608,19.10440123,0.6325486182,American
5.890756303,0.9537815126,0.4327731092,American
9.142857143,4.136966127,1.871870398,American
11.25471698,1.962264151,1.396226415,American
12.16935484,1.725806452,0.9435483871,American
12.35696822,6.860635697,1.053789731,American
6.734795613,3.010967099,1.255234297,American
11.84482759,4.913793103,3.767241379,American
6.409090909,2.318181818,0,American
10.36590038,3.164750958,0.653256705,American
8.540322581,1.084677419,2.068548387,American
8.215328467,5.189781022,1.04379562,American
6.833333333,1.75,3.430555556,American
0,11.11111111,0,Alaska
1.785714286,5.178571429,3.75,Alaska
2.563079777,1.600185529,0.5612244898,Alaska
0,6.451612903,0,Alaska
3.773584906,4.358490566,1.58490566,Alaska
4.360465116,5,0,Alaska
7.142857143,7.142857143,7.142857143,Alaska
0.6,23.03636364,0,Alaska
2.014492754,1.217391304,3.405797101,Alaska
2.640449438,1.382022472,0,Alaska
4.836065574,1.721311475,0,Alaska
3.043010753,20.61290323,0,Alaska
3.008547009,5.239316239,0,Alaska
5.741935484,15.22580645,0,Alaska
4.725806452,13.40322581,1.241935484,Alaska
2.180379747,2.126582278,0.3955696203,Alaska
2.247191011,0,0,Alaska
5.548387097,24.1827957,0.9247311828,Alaska
0,3.225806452,0,Alaska
2.344370861,5.655629139,1.582781457,Alaska
3.340909091,51.20454545,0,Alaska
4.410810811,1.562162162,0.427027027,Alaska
3.76109215,6.529010239,0,Alaska
2.7,3.697727273,0.3909090909,Alaska
8.032258065,28.83870968,1.838709677,Alaska
2.564516129,9.935483871,0,Alaska
3.483870968,20.5483871,0,Alaska
1.818181818,7.272727273,0,Alaska
4.830409357,2.292397661,0,Alaska
0.1290322581,42.24731183,0.6344086022,Alaska
0.5274725275,1.923076923,1.659340659,Alaska
5.909090909,6.204545455,1.034090909,Alaska
